Issue key,previous_story_point,estimated_test_score,Number of developers,Number of comments
JBDS-4330,5.0,3.85,1,1
JBDS-4327,5.0,3.717857142857143,1,2
JBDS-4321,20.0,9.15,1,6
JBDS-4305,2.0,2.598452380952381,1,1
JBDS-4302,5.0,3.6234237046421,1,2
JBDS-4263,20.0,2.995,1,13
JBDS-4250,5.0,3.945700636942675,1,2
JBDS-4199,1.0,1.75,1,0
JBDS-4198,1.0,1.6536111111111111,1,0
JBDS-4193,7.0,4.429015153005563,1,2
JBDS-4120,5.0,3.35,1,2
JBDS-4109,1.0,2.05,1,1
JBDS-4108,3.0,2.45,1,1
JBDS-4099,5.0,3.5,1,1
JBDS-4092,5.0,3.9,1,1
JBDS-4015,3.0,3.125,1,1
JBDS-4007,3.0,4.429015153005563,1,5
JBDS-3982,5.0,3.1517099567099565,1,15
JBDS-3981,5.0,4.55,1,33
JBDS-3961,3.0,6.141904761904763,1,18
JBDS-3939,2.0,3.6234237046421,1,1
JBDS-3935,1.0,1.997467420780114,1,1
JBDS-3932,2.0,2.55,1,2
JBDS-3869,8.0,3.6234237046421,1,5
JBDS-3868,5.0,4.468425982333232,1,15
JBDS-3854,1.0,1.4,1,1
JBDS-3838,1.0,3.5669047619047616,1,21
JBDS-3837,21.0,12.855238095238096,1,9
JBDS-3836,2.0,3.6234237046421,1,3
JBDS-3835,1.0,3.6234237046421,1,2
JBDS-3830,5.0,4.38,1,3
JBDS-3829,5.0,4.2,1,1
JBDS-3827,5.0,4.7,1,4
JBDS-3818,1.0,1.997467420780114,1,1
JBDS-3817,5.0,4.207142857142857,1,1
JBDS-3815,5.0,4.429015153005563,1,2
